title,price,link
Дрель-шуруповерт Werker CD 1211 Li с 1-им АКБ,"67,00",https://www.oma.by/akkumulyatornaya-drel-shurupovert-werker-cd-1211-li-1-261824-p
"Дрель-шуруповерт Makita DF333DYX14 (с 2-мя АКБ, кейс +набор оснастки)","219,98",https://www.oma.by/drel-shurupovert-akk-makita-df333dyx14-aktsiya-12v-2sk-30nm-2akk-1-5ach-psb-10-nab-bitd-31083-chem-1-299084-p
Шлифмашина угловая WERKER AG 750,"67,00",https://www.oma.by/shlifmashina-uglov-werker-ag-750-750vt-125mm-12000ob-min-kor-1-305518-p
Термоклеевой пистолет Werker EWSG004,"9,90",https://www.oma.by/pistolet-termokleevoy-elektricheskiy-werker-ewsg004-1-258881-p
Перфоратор Makita HR 2470,"279,90",https://www.oma.by/perforator-makita-hr-2470-1-149453-p
Дрель-шуруповерт Bosch GSR 120-LI Professional 06019G8000,"226,00",https://www.oma.by/drel-shurupovert-akkumulyatornaya-bosch-gsr-120-li-06019g8000-1-286119-p
Дрель-шуруповерт Werker EWCDL 814,"139,90",https://www.oma.by/drel-shurupovert-akkumulyatornaya-werker-ewcdl814-1-244685-p
Рубанок Werker PL 900,"129,90",https://www.oma.by/rubanok-setevoy-werker-pl-900-1-260642-p
Электролобзик Bosch PST 750 PE 06033A0520,"149,90",https://www.oma.by/lobzik-bytovoy-bosch-pst-750-pe-06033a0520-1-208453-p
Дисковая (циркулярная) пила WERKER CS 160 L,"129,90",https://www.oma.by/pila-diskovaya-elektricheskaya-bytovaya-werker-cs-160-l-1-264609-p
Гравер Werker EG 160,"89,90",https://www.oma.by/shlifmashinka-gravirovalnaya-setevaya-werker-eg-160-1-260647-p
Промышленный фен Werker HG 2000,"49,90",https://www.oma.by/stroitelnyy-fen-werker-hg-2000-1-260644-p
Угловая шлифмашина Bosch GWS 750 S Professional 0601394121,"165,94",https://www.oma.by/shlifmashina-uglov-bosch-gws-750-s-750vt-125mm-reg-ob-2-8-11tys-ob-min-kor-0601394121-1-262995-p
Дрель-шуруповерт Bosch GSR 12V-30 Professional 06019G9000,"309,00",https://www.oma.by/drel-shurupovert-akk-bosch-gsr-12v-30-besshchet-12v-2sk-30nm-2akk-2-0ach-psb10-chem-06019g9000-1-290646-p
Эксцентриковая шлифмашина Werker RS 270 S,"79,90",https://www.oma.by/shlifmashina-ekstsentrikovaya-setevaya-werker-rs-270-s-1-260669-p
Угловая шлифмашина Bosch GWS 670 Professional 0601375606,"123,00",https://www.oma.by/shlifmashina-uglovaya-bosch-gws-670-0601375606-1-262997-p
Дрель-шуруповерт Werker DSE 282,"69,90",https://www.oma.by/setevaya-drel-shurupovert-werker-dse-282-1-260566-p
Электроотвертка Werker EWCD 001,"49,90",https://www.oma.by/shurupovert-otvertka-akkumulyatornaya-werker-ewcd001-1-244684-p
Дрель-миксер Werker EM 1200 S,"149,90",https://www.oma.by/meshalka-elektricheskaya-werker-em-1200-s-1-260636-p
Промышленный фен Bosch EasyHeat 500 06032A6020,"89,97",https://www.oma.by/fen-tekhnicheskiy-bosch-easyheat-500-1600vt-2stup-300-500grad-06032a6020-1-267683-p
Электролобзик Bosch PST 650 06033A0720,"119,90",https://www.oma.by/lobzik-bosch-pst-650-compact-1-139641-p
Угловая шлифмашина Bosch GWS 9-125 S 0601396102,"214,00",https://www.oma.by/shlifmashina-u-glovaya-bosch-gws-9-125-s-0601396102-1-259583-p
Дрель-шуруповерт Werker CD 1201 Li с 1-м АКБ,"99,90",https://www.oma.by/akkumulyatornaya-drel-shurupovert-werker-cd-1201-li-1-261822-p
Электролобзик Makita 4329,"173,00",https://www.oma.by/lobzik-makita-4329-1-142303-p
